Informazioni cronologiche,Hai vinto un buono da 30€. Come lo spendi?,Come ti comporti sui social? ,È ora di cena,Pregando di finire in zona gialla,"Quando ti trovi in una situazione nuova, circondat* da persone che vedi per la prima volta",Ti arrabbi soprattutto quando,Cosa ti preoccupa di più del futuro post-COVID?,Che pizza preferisci?,Sei tesserat* o fai vita associativa?,"Misuriamo l'umore, come ti senti ora?",Pensi che questo stato d'animo si prolungherà nel tempo?,"Secondo te, Bolzano ha bisogno di",Come vedi Bolzano?,"Cosa pensi se dico ""Intelligenza Artificiale""?",Quante ore dormi di solito la notte?,Mappa di Bolzano [Dov'è interessante?],Mappa di Bolzano [Dov'è rilassante?],Mappa di Bolzano [Dove ti incontri con gli amici?],Mappa di Bolzano [Dove non andresti?],Commento,Emozioni [Gioia ],Emozioni [Fiducia],Emozioni [Eccitazione],Emozioni [Ansia],Emozioni [Paura],Emozioni [Rabbia],Emozioni [Disgusto],Emozioni [Sorpresa],Emozioni [Tristezza],Rieccoti la mappa! [Rosso (A)],Rieccoti la mappa! [Arancione (B)],Rieccoti la mappa! [Giallo (C)],Rieccoti la mappa! [Verde (D)],Rieccoti la mappa! [Azzurro (E)],Rieccoti la mappa! [Blu (F)],Rieccoti la mappa! [Viola (G)],Luoghi/emozioni,Genere,Età,Luogo di nascita,"Se alla precedente domanda hai riposto Estero (EU) o Estero (no EU), specifica il paese qui sotto",Luogo di residenza,Livello di istruzione,Lingua madre,Lingue parlate,Stato civile,Con quante persone vivi?,Occupazione,Quanto lavori/studi?
01/02/2021 16.38.19,"Libri, giornali, riviste",4,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Se potessi mi smaterializzerei,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,"Piantare alberi, Rivedere l'assegnazione delle case popolari",immobile ,Una cosa entusiasmante,6,"1, 5",1,1,"3, 4",,1,"1, 5",1,4,"4, 5","3, 4",Non so,5,,"1, 2, 3, 4, 5","1, 2, 3, 4, 5","1, 2, 3, 4, 5","1, 2, 3, 4, 5","1, 2, 3, 4, 5","1, 2, 3, 4, 5","1, 2, 3, 4, 5",,Preferisco non rispondere,41-50,Bolzano,,Bolzano,"Master, Università","Italiano, Tedesco, Inglese","Italiano, Tedesco, Inglese, spagnolo",Convivente (anche non formalizzato),Con partner e figli/e,Lavorator*,Tempo pieno
01/02/2021 17.07.39,Macchine fotografiche e altre attrezzature elettroniche,1,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La re-impennata degli agenti inquinanti, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Vegetariana,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",No,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Bella,È una questione delicata che dobbiamo gestire,8,1,2,1,5,,,,,,,,,,,,,,,,,,,,17-20,Altro comune Trentino Alto Adige,,Bressanone,Istruzione secondaria/completa,Italiano,"Tedesco, Ladino, Inglese, Spagnolo",Convivente (anche non formalizzato),Con partner,Student*,Tempo pieno
01/02/2021 18.20.15,"Cosmetica, bellezza, benessere",4,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Vedo un ciclista pedalare fuori dalla pista ciclabile nonostante ce ne sia una",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Patatine e wurstel,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,"Piantare alberi, Eliminare lo spaccio e la delinquenza",Sorridente,È una questione delicata che dobbiamo gestire,6,1,"1, 2",1,5,,,,,,,,,,,,,,,,,,,Donna,21-30,Altro comune Trentino Alto Adige,,Trentino,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese, Spagnolo Francese",Single,Con più di due coinquilin*,Student*,Tempo pieno
01/02/2021 19.11.03,"Libri, giornali, riviste",2,Per fortuna vivo con altre persone che se ne occupano,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Scopro che un conoscente non paga le tasse",La re-impennata degli agenti inquinanti,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",No,"Piantare alberi, Sistemare la viabilità",complicata,È una questione delicata che dobbiamo gestire,7,"1, 5",2,"1, 2, 3, 4",,,"1, 2",Non so,"2, 5",Non so,Non so,Non so,Non so,4,5,1,"4, 5","3, 5",2,Non so,3,5,,Uomo,21-30,Bolzano,,Bolzano,"Master, Università","Italiano, Tedesco","Italiano, Tedesco, Inglese, espanol",,Con partner,Lavorator*,Tempo pieno
01/02/2021 19.29.43,Musica o film,7,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,Vedo una persona che getta una lattina a terra,La situazione delle persone a me vicine,Non ho particolari preferenze,"Certo! Sostengo associazioni, organizzazioni, partiti o simili","Così, così",Si,Sistemare la viabilità,Screziata,Può essere una valida alleata degli umani,7,1,2,1,,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,2,Non so,Non so,Non so,,Uomo,41-50,Altro comune Trentino Alto Adige,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Inglese, Francese",Convivente (anche non formalizzato),Con partner e figli/e,Lavorator*,Tempo pieno
01/02/2021 21.01.10,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Male,Si,Piantare alberi,Monotona,Può essere una valida alleata degli umani,5,5,"2, 5","1, 5",,,5,Non so,Non so,1,1,Non so,Non so,Non so,Non so,,,,,,,,,Donna,21-30,Bolzano,,,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Single,Con più di due coinquilin*,Student*,Tempo pieno
02/02/2021 0.56.29,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,Penso che tutte le persone al potere vogliono fare solo i loro interessi,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,Bella ma viziata,È una questione delicata che dobbiamo gestire,6,"1, 4",2,"1, 3, 4",5,,"1, 2, 3, 4",Non so,Non so,5,Non so,5,Non so,"1, 2, 3, 4, 5",5,2,4,3,"1, 2",5,5,"1, 4",,Preferisco non rispondere,31-40,Altro comune Trentino Alto Adige,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
02/02/2021 9.59.06,"Libri, giornali, riviste",3,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, I vicini del piano di sopra fanno rumore incessante per tutta la sera",La situazione delle persone a me vicine,Non mangio pizza,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Chissà,"Piantare alberi, Sistemare la viabilità",In una bella gabbia ,Può essere una valida alleata degli umani,7,"1, 5",2,"1, 4",3,,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,Non so,1,5,3,4,2,Non so,Non so,,Uomo,31-40,Italia,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Inglese",Convivente (anche non formalizzato),Da sol*,Lavorator*,Tempo pieno
02/02/2021 11.31.24,Macchine fotografiche e altre attrezzature elettroniche,6,La pizzeria del cuore è in cima alla lista,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,Vedo una persona che getta una lattina a terra,La situazione delle persone a me vicine,4 formaggi,"Certo! Sostengo associazioni, organizzazioni, partiti o simili",Bene,Si,Sistemare la viabilità,Una città con molto potenziale inespresso e con grosse contraddizioni di fondo,È una questione delicata che dobbiamo gestire,7,"1, 5","2, 4","1, 3, 4",,,"1, 4","2, 3, 4",Non so,Non so,Non so,"1, 3, 4",Non so,Non so,Non so,1,3,2,"2, 4",4,"1, 3",5,,Uomo,21-30,Bolzano,,Bolzano,"Laurea, Università",Italiano,"Italiano, Tedesco, Inglese",Single,Con più di due coinquilin*,Lavorator*,Tempo pieno
02/02/2021 11.37.26,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La re-impennata degli agenti inquinanti, Essere incapace di staccarmi da computer e smartphone",Salsiccia e friarielli,Non sono iscritt* a nulla perché in fondo non mi interessa,Male,Si,"Piantare alberi, Sistemare la viabilità",la vedo divisa,Una cosa entusiasmante,7,"1, 2, 3, 4","1, 2","1, 2",5,,"1, 2, 3",1,"1, 2, 3, 4","1, 3, 5",2,Non so,Non so,"2, 4",Non so,1,,5,2,,4,3,,Donna,21-30,Italia,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Tedesco, Ladino, Inglese",Single,Con più di due coinquilin*,Student*,Part-time
02/02/2021 12.02.07,Articoli sportivi,6,Adoro cucinare,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La mia situazione,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,"Sistemare la viabilità, Rivedere l'assegnazione delle case popolari",Divisa ,È una questione delicata che dobbiamo gestire,7,"1, 4, 5","2, 4, 5",1,,,Non so,Non so,"4, 5",Non so,Non so,1,1,"4, 5",1,2,Non so,Non so,4,5,Non so,Non so,,Uomo,21-30,Italia,,Bolzano,"Laurea, Università","Italiano, Inglese","Italiano, Inglese",Convivente (anche non formalizzato),,Student*,Tempo pieno
02/02/2021 12.02.57,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La re-impennata degli agenti inquinanti,Non ho particolari preferenze,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",No,"Piantare alberi, Eliminare lo spaccio e la delinquenza","Distratta, con la testa tra le nuvole.
Forse un po' arrogante",È una questione delicata che dobbiamo gestire,6,2,3,1,5,,"1, 2","1, 3",2,5,5,Non so,Non so,2,Non so,2,3,1,1,2,"2, 3","4, 5","Nonostante la scelta istintiva, penso che il ricordo di sensazioni vissute in quei luoghi sia stato determinante per definire un'emozione o un colore",Donna,21-30,Italia,,Lombardia,"Laurea, Università",Italiano,"Tedesco, Inglese",Single,Da sol*,Student*,Tempo pieno
02/02/2021 13.57.04,Musica o film,4,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice",La mia situazione,Margherita,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,Rivedere l'assegnazione delle case popolari,altezzosa,È una questione delicata che dobbiamo gestire,6,2,"3, 4",1,5,,"1, 4",4,1,1,,5,5,"2, 3",5,1,3,4,2,2,4,"1, 5",,Donna,21-30,Italia,,Vicentino,"Laurea, Università",Italiano,"Italiano, Inglese",Single,Da sol*,Student*,Tempo pieno
02/02/2021 14.00.20,Articoli sportivi,5,Adoro cucinare,"Rimango fedele all'appartamento, il mio habitat del cuore",Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi",,Patatine e wurstel,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Si,,"Noiosa e abitata da persone che non apprezzo. Vengo da un piccolo paese in sud Italia e speravo che Bolzano fosse più attiva (più cose da fare, più negozi, etc) e che le persone fossero migliori (non necessariamente che supportino, ma almeno più tolleranti verso stranieri, immigrati, persone della comunità LGBT, etc) ma onestamente è meglio a casa.",Può essere una valida alleata degli umani,7,1,2,1,4,"Le uniche zone che conosco effettivamente sono il centro e due piccole zone a gries e ai piani e naturalmente il twenty, ma per il resto non sono mai uscita molto e cerco sempre di uscire in compagnia se vado in una zona che conosco poco",1,,,,1,2,1,,,,5,1,2,5,,,,Donna,21-30,Italia,,Gioia del Colle (BA),"Laurea, Università",Italiano,"Tedesco, Inglese, Francese, spagnolo",Convivente (anche non formalizzato),Con più di due coinquilin*,Student*,Part-time
02/02/2021 15.21.32,"Libri, giornali, riviste",6,Apro il frigo e improvviso,Mi gusto uno spettacolo dal vivo,Cerco di inquadrare le persone prima di espormi,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Scopro che un conoscente non paga le tasse",La situazione delle persone a me vicine,4 formaggi,"Mi iscriverei, ma la verità è che non mi sento rappresentat*",Bene,Si,Sistemare la viabilità,ferma,Scenari tipo Terminator,7,1,"1, 4","1, 4","2, 5","Le risposte che ho dato a ""1"" fanno riferimento alla zona centro, non ai piani nè a rencio",4,Non so,"1, 5",1,1,Non so,3,5,1,2,3,2,4,4,1,5,,Uomo,21-30,Bolzano,,Bolzano,"Master, Università",Italiano,"Italiano, Tedesco, Inglese, francese (malino)",Convivente (anche non formalizzato),Con partner,Lavorator*,Tempo pieno
02/02/2021 17.38.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/02/2021 22.51.37,Macchine fotografiche e altre attrezzature elettroniche,5,Apro il frigo e improvviso,Improvviso un'escursione in qualsiasi zona purché sia fuori Comune,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione",I vicini del piano di sopra fanno rumore incessante per tutta la sera,La mia situazione,Non ho particolari preferenze,"Mi iscriverei, ma la verità è che non mi sento rappresentat*","Così, così",Si,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza",Monotona,Può essere una valida alleata degli umani,8,1,2,1,3,,1,1,1,5,5,4,5,3,Non so,1,3,2,4,5,Non so,1,,Uomo,17-20,Italia,,Bolzano,"Laurea, Università",Italiano,"Tedesco, Inglese",Single,Da sol*,Student*,Tempo pieno
02/02/2021 22.52.39,Articoli sportivi,5,Adoro cucinare,Imploro un aperitivo con gli amici,Aspetto che mi coinvolgano le altre persone,"Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi, I vicini del piano di sopra fanno rumore incessante per tutta la sera","La mia situazione, Essere incapace di staccarmi da computer e smartphone",Vegetariana,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Chissà,,Isolata,È una questione delicata che dobbiamo gestire,8,"1, 5",5,1,,,,,,,,,,,,,,,,,,,,Donna,21-30,Italia,,Novara,Istruzione secondaria/completa,Italiano,"Tedesco, Inglese, Francese ",Single,Con un coinquilin*,Student*,Tempo pieno
02/02/2021 22.57.00,Articoli sportivi,7,Apro il frigo e improvviso,Imploro un aperitivo con gli amici,"Aspetto che qualcun* parli per interagire, ma non vedevo l'ora che qualcun* avviasse la conversazione","Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice","La situazione delle persone a me vicine, Essere incapace di staccarmi da computer e smartphone, Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta",Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,"Così, così",Chissà,"Sistemare la viabilità, Eliminare lo spaccio e la delinquenza","Delinquenza, silenzio, stretta",È una questione delicata che dobbiamo gestire,7,1,4,1,3,,1,1,1,4,Non so,Non so,1,1,1,1,2,5,4,4,4,Non so,,Donna,21-30,Bolzano,,Bolzano,Istruzione secondaria/completa,Italiano,"Tedesco, Inglese, Francese",Single,Da sol*,Student*,Tempo pieno
02/02/2021 22.58.10,Articoli sportivi,5,Adoro cucinare,Imploro un aperitivo con gli amici,"Rompo il ghiaccio, vado a ruota libera",Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice,Non riuscire più a relazionarmi con le persone con la stessa tranquillità di una volta,Salsiccia e friarielli,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,"Piantare alberi, Sistemare la viabilità",,Può essere una valida alleata degli umani,8,1,1,1,5,,1,1,1,Non so,Non so,Non so,5,1,2,1,2,4,3,3,4,Non so,,Uomo,17-20,Italia,,Bolzano,Istruzione secondaria/completa,Italiano,"Italiano, Inglese",Single,Da sol*,Student*,Tempo pieno
02/02/2021 23.00.48,Macchine fotografiche e altre attrezzature elettroniche,5,Per fortuna vivo con altre persone che se ne occupano,"Rimango fedele all'appartamento, il mio habitat del cuore",Cerco di inquadrare le persone prima di espormi,"Vedo una persona che getta una lattina a terra, Sento i colleghi fare battute sessiste su una collega che è appena stata promossa a direttrice, Penso che tutte le persone al potere vogliono fare solo i loro interessi, Scopro che un conoscente non paga le tasse",La re-impennata degli agenti inquinanti,Margherita,Non sono iscritt* a nulla perché in fondo non mi interessa,Bene,Si,Piantare alberi,"Chiusa in se stessa, divisa da muri linguistici",Una cosa entusiasmante,6,1,3,1,5,,3,Non so,1,"1, 4, 5","1, 4, 5",Non so,1,Non so,Non so,"1, 4",2,2,"3, 5",3,3,Non so,,Uomo,21-30,Bolzano,,Bolzano,Collegio di istruzione superiore professionale o tecnica,Italiano,"Italiano, Inglese",Single,Da sol*,Student*,Tempo pieno
